outcome,effect_label,effect,gap,arm,method,true_tau,n_rep,n_identified,bias,bias_mcse,rmse,coverage,coverage_mcse,fpr,fnr,sign_correctness,claim_accuracy,claim_accuracy_mcse,attenuation_ratio,unidentified_rate,gate_rejection_rate,anticipation_classification_accuracy
launches,robustness,0.1,5,anticipation,naive_announcement,0.1,2000,2000,-0.010398246255160407,0.0015301985572175275,0.06920113630988767,0.804,0.00887648579112252,,0.5585,0.9035,0.4315,0.01107492099294618,0.896017537448396,0.0,,
launches,robustness,0.1,5,anticipation,verified_activation,0.1,2000,2000,-0.0070450964200741845,0.0015339783847577654,0.06894533823030621,0.788,0.009139365404665686,,0.5345,0.909,0.46,0.011144505372604026,0.9295490357992582,0.0,,
launches,robustness,0.1,5,anticipation,activation_plus_anticipation_gate,0.1,2000,1122,-0.0010753552789415088,0.00200694432059205,0.0672037854674377,0.8226381461675579,0.011403498331072574,,0.5401069518716578,0.9340463458110517,0.4536541889483066,0.014862772938714111,0.989246447210585,0.439,0.439,0.439
launches,robustness,0.1,7,zero,naive_announcement,0.0,2000,2000,0.004171000028914438,0.0015374088057968388,0.06886425261112175,0.795,0.009027042705116665,0.205,,,0.795,0.009027042705116665,,0.0,,
launches,robustness,0.1,7,zero,verified_activation,0.0,2000,2000,0.0023617871960402337,0.0015431677721447084,0.06903571697287224,0.806,0.008842058583836684,0.194,,,0.806,0.008842058583836684,,0.0,,
launches,robustness,0.1,7,zero,activation_plus_anticipation_gate,0.0,2000,1235,0.005683716427751689,0.0020361239005431517,0.07175111495141458,0.8032388663967611,0.011312498548331301,0.19676113360323888,,,0.8032388663967611,0.011312498548331301,,0.3825,0.3825,0.6175
launches,robustness,0.1,7,no_anticipation,naive_announcement,0.1,2000,2000,-0.02455216045936004,0.001546155968492901,0.07335948843030257,0.806,0.008842058583836684,,0.645,0.8565,0.3445,0.010625905843738688,0.7544783954063996,0.0,,
launches,robustness,0.1,7,no_anticipation,verified_activation,0.1,2000,2000,-0.00025460857932768644,0.0015511152533636808,0.06935110615869369,0.795,0.009027042705116665,,0.508,0.921,0.485,0.01117530760203047,0.9974539142067231,0.0,,
launches,robustness,0.1,7,no_anticipation,activation_plus_anticipation_gate,0.1,2000,1235,-0.0012248162888795489,0.002008168183460711,0.07055423913573405,0.8291497975708502,0.010710032027950778,,0.5587044534412956,0.9255060728744939,0.43562753036437246,0.014109352718391872,0.9877518371112045,0.3825,0.3825,0.6175
launches,robustness,0.1,7,anticipation,naive_announcement,0.1,2000,2000,-0.014048234420510106,0.0015142720872163256,0.0691454971681053,0.802,0.008910555538236659,,0.5705,0.885,0.423,0.011046967909793166,0.8595176557948989,0.0,,
launches,robustness,0.1,7,anticipation,verified_activation,0.1,2000,2000,-0.010307402502273744,0.0014776586491279209,0.0668656057921084,0.8185,0.008618519304381698,,0.5495,0.9045,0.446,0.011114944894150398,0.8969259749772626,0.0,,
