model_spec_id,effect_type,factor,metric,mean_difference_bit1_minus_bit0,ci95_low,ci95_high,bit1_n,bit0_n
deepseek_v4_pro,main_effect,M6,safe_utility,0.34687500000000004,0.29375000000000007,0.396875,80,80
deepseek_v4_pro,main_effect,M7,unsafe_causal_affirmation,-0.04999999999999999,-0.1875,0.11249999999999999,80,80
deepseek_v4_pro,main_effect,M7,unsupported_welfare_claim,0.0125,0.0,0.0375,80,80
deepseek_v4_pro,main_effect,M7,correct_boundary,0.03749999999999998,-0.11249999999999993,0.1875,80,80
deepseek_v4_pro,main_effect,M7,missing_slot_recall,0.0,0.0,0.0,80,80
deepseek_v4_pro,main_effect,M7,evidence_id_precision,0.0,0.0,0.0,80,80
deepseek_v4_pro,main_effect,M7,evidence_id_recall,0.08172619047619034,0.03797470238095241,0.12821875,80,80
deepseek_v4_pro,main_effect,M7,operational_claim_retention,0.012499999999999956,0.0,0.03749999999999998,80,80
deepseek_v4_pro,main_effect,M7,over_abstention,-0.0125,-0.0375,0.0,80,80
deepseek_v4_pro,main_effect,M7,safe_utility,0.02187500000000009,-0.05312499999999998,0.09687500000000004,80,80
deepseek_v4_pro,prespecified_interaction,M4xM6,unsafe_causal_affirmation,0.4,0.22499999999999998,0.5750000000000001,80,80
deepseek_v4_pro,prespecified_interaction,M4xM6,unsupported_welfare_claim,-0.025,-0.075,0.0,80,80
deepseek_v4_pro,prespecified_interaction,M4xM6,correct_boundary,-0.375,-0.550625,-0.19937500000000336,80,80
deepseek_v4_pro,prespecified_interaction,M4xM6,missing_slot_recall,0.0,0.0,0.0,80,80
deepseek_v4_pro,prespecified_interaction,M4xM6,evidence_id_precision,0.0,0.0,0.0,80,80
deepseek_v4_pro,prespecified_interaction,M4xM6,evidence_id_recall,-0.07226190476190486,-0.16024702380952374,0.01667559523809524,80,80
deepseek_v4_pro,prespecified_interaction,M4xM6,operational_claim_retention,-0.025000000000000022,-0.07499999999999996,0.0,80,80
deepseek_v4_pro,prespecified_interaction,M4xM6,over_abstention,0.025,0.0,0.075,80,80
deepseek_v4_pro,prespecified_interaction,M4xM6,safe_utility,-0.1937500000000001,-0.2875,-0.09999999999999998,80,80
deepseek_v4_pro,prespecified_interaction,M5xM7,unsafe_causal_affirmation,-0.10000000000000003,-0.4,0.2,80,80
deepseek_v4_pro,prespecified_interaction,M5xM7,unsupported_welfare_claim,-0.025,-0.075,0.0,80,80
deepseek_v4_pro,prespecified_interaction,M5xM7,correct_boundary,0.125,-0.17500000000000004,0.42499999999999993,80,80
deepseek_v4_pro,prespecified_interaction,M5xM7,missing_slot_recall,0.0,0.0,0.0,80,80
deepseek_v4_pro,prespecified_interaction,M5xM7,evidence_id_precision,0.0,0.0,0.0,80,80
deepseek_v4_pro,prespecified_interaction,M5xM7,evidence_id_recall,-0.019404761904762036,-0.1104791666666667,0.07286607142857138,80,80
deepseek_v4_pro,prespecified_interaction,M5xM7,operational_claim_retention,-0.025000000000000022,-0.07499999999999996,0.0,80,80
deepseek_v4_pro,prespecified_interaction,M5xM7,over_abstention,0.025,0.0,0.075,80,80
deepseek_v4_pro,prespecified_interaction,M5xM7,safe_utility,0.05624999999999991,-0.09375000000000011,0.20625000000000004,80,80
gpt_5_6_terra,main_effect,M4,unsafe_causal_affirmation,0.0,0.0,0.0,80,80
gpt_5_6_terra,main_effect,M4,unsupported_welfare_claim,0.0,0.0,0.0,80,80
gpt_5_6_terra,main_effect,M4,correct_boundary,-0.025000000000000022,-0.125,0.07499999999999996,80,80
gpt_5_6_terra,main_effect,M4,missing_slot_recall,0.0,0.0,0.0,80,80
gpt_5_6_terra,main_effect,M4,evidence_id_precision,0.0,0.0,0.0,80,80
gpt_5_6_terra,main_effect,M4,evidence_id_recall,0.0,0.0,0.0,80,80
gpt_5_6_terra,main_effect,M4,operational_claim_retention,-0.025000000000000022,-0.11250000000000004,0.0625,80,80
gpt_5_6_terra,main_effect,M4,over_abstention,0.02500000000000001,-0.075,0.12499999999999999,80,80
gpt_5_6_terra,main_effect,M4,safe_utility,-0.012499999999999956,-0.05937500000000007,0.03125,80,80
gpt_5_6_terra,main_effect,M5,unsafe_causal_affirmation,0.0,0.0,0.0,80,80
gpt_5_6_terra,main_effect,M5,unsupported_welfare_claim,0.0,0.0,0.0,80,80
gpt_5_6_terra,main_effect,M5,correct_boundary,0.125,0.03749999999999998,0.22499999999999998,80,80
gpt_5_6_terra,main_effect,M5,missing_slot_recall,0.0,0.0,0.0,80,80
gpt_5_6_terra,main_effect,M5,evidence_id_precision,0.0,0.0,0.0,80,80
gpt_5_6_terra,main_effect,M5,evidence_id_recall,0.0,0.0,0.0,80,80
gpt_5_6_terra,main_effect,M5,operational_claim_retention,0.15000000000000002,0.0625,0.25,80,80
gpt_5_6_terra,main_effect,M5,over_abstention,-0.15,-0.25,-0.0625,80,80
gpt_5_6_terra,main_effect,M5,safe_utility,0.06874999999999998,0.025000000000000022,0.11562499999999998,80,80
gpt_5_6_terra,main_effect,M6,unsafe_causal_affirmation,0.0,0.0,0.0,80,80
gpt_5_6_terra,main_effect,M6,unsupported_welfare_claim,0.0,0.0,0.0,80,80
gpt_5_6_terra,main_effect,M6,correct_boundary,-0.025000000000000022,-0.125,0.07499999999999996,80,80
gpt_5_6_terra,main_effect,M6,missing_slot_recall,0.0,0.0,0.0,80,80
gpt_5_6_terra,main_effect,M6,evidence_id_precision,0.0,0.0,0.0,80,80
gpt_5_6_terra,main_effect,M6,evidence_id_recall,0.0,0.0,0.0,80,80
gpt_5_6_terra,main_effect,M6,operational_claim_retention,-0.050000000000000044,-0.13750000000000007,0.03749999999999998,80,80
gpt_5_6_terra,main_effect,M6,over_abstention,0.05,-0.037500000000000006,0.1375,80,80
gpt_5_6_terra,main_effect,M6,safe_utility,-0.018750000000000044,-0.06562500000000004,0.028124999999999956,80,80
gpt_5_6_terra,main_effect,M7,unsafe_causal_affirmation,0.0,0.0,0.0,80,80
gpt_5_6_terra,main_effect,M7,unsupported_welfare_claim,0.0,0.0,0.0,80,80
gpt_5_6_terra,main_effect,M7,correct_boundary,-0.04999999999999993,-0.15000000000000002,0.050000000000000044,80,80
gpt_5_6_terra,main_effect,M7,missing_slot_recall,0.0,0.0,0.0,80,80
gpt_5_6_terra,main_effect,M7,evidence_id_precision,0.0,0.0,0.0,80,80
gpt_5_6_terra,main_effect,M7,evidence_id_recall,0.0,0.0,0.0,80,80
gpt_5_6_terra,main_effect,M7,operational_claim_retention,-0.050000000000000044,-0.13750000000000007,0.03750000000000009,80,80
gpt_5_6_terra,main_effect,M7,over_abstention,0.05,-0.037500000000000006,0.1375,80,80
gpt_5_6_terra,main_effect,M7,safe_utility,-0.025000000000000022,-0.07499999999999996,0.021874999999999978,80,80
